Hex	Opcode	Length	Cycles	After CB	Length	Cycles	After DDFDCB	Length	Cycles	After ED	Length	Cycles			Key	
00	NOP	1	4	RLC B	1	8	"LD B, RLC (HL)"	1	0						^	16-bit number (two bytes)
01	"LD BC, ^"	3	10	RLC C	1	8	"LD C, RLC (HL)"	1	0						$	8-bit number (one byte)
02	"LD BC, (A)"	1	7	RLC D	1	8	"LD D, RLC (HL)"	1	0						%	2s comp offset (1 byte)
03	INC BC	1	6	RLC E	1	8	"LD E, RLC (HL)"	1	0							
04	INC B	1	4	RLC H	1	8	"LD H, RLC (HL)"	1	0							
05	DEC B	1	4	RLC L	1	8	"LD L, RLC (HL)"	1	0							
06	"LD B, $"	2	7	RLC (HL)	1	15	RLC (HL)	1	15							
07	RLCA	1	4	RLC A	1	8	"LD A, RLC (HL)"	1	0							
08	"EX AF, AF'"	1	4	RRC B	1	8	"LD B, RRC (HL)"	1	0							
09	"ADD HL, BC"	1	11	RRC C	1	8	"LD C, RRC (HL)"	1	0							
0A	"LD A, (BC)"	1	7	RRC D	1	8	"LD D, RRC (HL)"	1	0							
0B	DEC BC	1	6	RRC E	1	8	"LD E, RRC (HL)"	1	0							
0C	INC C	1	4	RRC H	1	8	"LD H, RRC (HL)"	1	0							
0D	DEC C	1	4	RRC L	1	8	"LD L, RRC (HL)"	1	0							
0E	"LD C, $"	2	7	RRC (HL)	1	15	RRC (HL)	1	15							
0F	RRCA	1	4	RRC A	1	8	"LD A, RRC (HL)"	1	0							
10	DJNZ %	2	13 / 8	RL B	1	8	"LD B, RL (HL)"	1	0							
11	"LD DE, ^"	3	10	RL C	1	8	"LD C, RL (HL)"	1	0							
12	"LD (DE), A"	1	7	RL D	1	8	"LD D, RL (HL)"	1	0							
13	INC DE	1	6	RL E	1	8	"LD E, RL (HL)"	1	0							
14	INC D	1	4	RL H	1	8	"LD H, RL (HL)"	1	0							
15	DEC D	1	4	RL L	1	8	"LD L, RL (HL)"	1	0							
16	"LD D, $"	2	7	RL (HL)	1	15	RL (HL)	1	15							
17	RLA	1	4	RL A	1	8	"LD A, RL (HL)"	1	0							
18	JR %	2	12	RR B	1	8	"LD B, RR (HL)"	1	0							
